Job Title,Industry,Job Description,Technical Skills,Soft Skills,Minimum Experience,Educational Qualifications,Certifications,Tools/Technologies,Additional Comments
AI Researcher,Education,This is a AI Researcher role in the Education industry.,"Git, Power BI, Machine Learning, Java","Leadership, Critical Thinking",Mid-level (2–5 years),Bachelor's degree in Computer Science,AWS Certified Solutions Architect,"GitHub, TensorFlow, Tableau, Power BI","This job requires proficiency in Git, Power BI, Machine Learning, Java."
Database Administrator,Marketing,This is a Database Administrator role in the Marketing industry.,"AWS, Power BI, Deep Learning, Tableau, Python","Leadership, Creativity, Teamwork, Critical Thinking",Senior-level (6+ years),Bachelor's degree in Computer Science,AWS Certified Solutions Architect,"JIRA, Hadoop","This job requires proficiency in AWS, Power BI, Deep Learning, Tableau, Python."
Network Engineer,Finance,This is a Network Engineer role in the Finance industry.,"Java, Deep Learning, SQL, Git","Communication, Leadership, Creativity",Senior-level (6+ years),MBA,PMP Certification,"Hadoop, GitHub","This job requires proficiency in Java, Deep Learning, SQL, Git."
Database Administrator,Information Technology,This is a Database Administrator role in the Information Technology industry.,"Python, Machine Learning, Tableau, Deep Learning, Excel","Leadership, Time Management, Adaptability, Communication",Senior-level (6+ years),PhD in Artificial Intelligence,PMP Certification,"PyTorch, Tableau, AWS","This job requires proficiency in Python, Machine Learning, Tableau, Deep Learning, Excel."
Cybersecurity Analyst,Information Technology,This is a Cybersecurity Analyst role in the Information Technology industry.,"AWS, Docker, Tableau, Excel","Creativity, Problem-Solving",Entry-level (0–1 years),Diploma in IT,AWS Certified Solutions Architect,"GitHub, Hadoop, PostgreSQL","This job requires proficiency in AWS, Docker, Tableau, Excel."
Network Engineer,Manufacturing,This is a Network Engineer role in the Manufacturing industry.,"Deep Learning, Docker, Kubernetes","Time Management, Adaptability, Communication, Critical Thinking",Mid-level (2–5 years),Bachelor's degree in Computer Science,AWS Certified Solutions Architect,"JIRA, GitHub, Keras","This job requires proficiency in Deep Learning, Docker, Kubernetes."
Business Analyst,Finance,This is a Business Analyst role in the Finance industry.,"Azure, Power BI, Docker, Tableau","Time Management, Adaptability",Entry-level (0–1 years),Diploma in IT,PMP Certification,"PostgreSQL, JIRA, Tableau","This job requires proficiency in Azure, Power BI, Docker, Tableau."
AI Researcher,Healthcare,This is a AI Researcher role in the Healthcare industry.,"Azure, SQL, R, Deep Learning, Machine Learning","Problem-Solving, Communication",Senior-level (6+ years),MBA,PMP Certification,"PyTorch, TensorFlow, Keras","This job requires proficiency in Azure, SQL, R, Deep Learning, Machine Learning."
Network Engineer,Logistics,This is a Network Engineer role in the Logistics industry.,"Docker, Kubernetes, Java, Tableau, Deep Learning","Critical Thinking, Problem-Solving, Time Management, Adaptability",Entry-level (0–1 years),MBA,Azure Fundamentals,"AWS, Hadoop, Tableau, GitHub","This job requires proficiency in Docker, Kubernetes, Java, Tableau, Deep Learning."
Data Scientist,Information Technology,This is a Data Scientist role in the Information Technology industry.,"Power BI, Kubernetes, Deep Learning, Python","Creativity, Communication",Senior-level (6+ years),Bachelor's degree in Computer Science,Azure Fundamentals,"PyTorch, JIRA","This job requires proficiency in Power BI, Kubernetes, Deep Learning, Python."
Network Engineer,Finance,This is a Network Engineer role in the Finance industry.,"Git, AWS, Docker, Tableau, Machine Learning","Problem-Solving, Creativity",Senior-level (6+ years),Bachelor's degree in Computer Science,Azure Fundamentals,"GitHub, Hadoop, MATLAB","This job requires proficiency in Git, AWS, Docker, Tableau, Machine Learning."
Full Stack Developer,Education,This is a Full Stack Developer role in the Education industry.,"Java, Excel, Python","Communication, Time Management, Adaptability, Leadership",Entry-level (0–1 years),PhD in Artificial Intelligence,Scrum Master Certification,"GitHub, AWS, PyTorch","This job requires proficiency in Java, Excel, Python."
Machine Learning Engineer,Logistics,This is a Machine Learning Engineer role in the Logistics industry.,"Excel, Machine Learning, Kubernetes","Problem-Solving, Teamwork",Mid-level (2–5 years),MBA,Certified Data Scientist,"GitHub, AWS, TensorFlow, JIRA","This job requires proficiency in Excel, Machine Learning, Kubernetes."
Database Administrator,Marketing,This is a Database Administrator role in the Marketing industry.,"SQL, Azure, Machine Learning, Kubernetes, Python","Creativity, Communication",Mid-level (2–5 years),MBA,Scrum Master Certification,"GitHub, Spark","This job requires proficiency in SQL, Azure, Machine Learning, Kubernetes, Python."
Software Engineer,Education,This is a Software Engineer role in the Education industry.,"Docker, R, Tableau, Machine Learning","Creativity, Adaptability, Time Management, Leadership",Senior-level (6+ years),Diploma in IT,Scrum Master Certification,"Spark, Power BI","This job requires proficiency in Docker, R, Tableau, Machine Learning."
Network Engineer,Marketing,This is a Network Engineer role in the Marketing industry.,"Tableau, SQL, Kubernetes","Leadership, Time Management",Mid-level (2–5 years),MBA,Certified Data Scientist,"PostgreSQL, Tableau","This job requires proficiency in Tableau, SQL, Kubernetes."
Data Scientist,Manufacturing,This is a Data Scientist role in the Manufacturing industry.,"Git, Docker, Power BI","Critical Thinking, Creativity",Entry-level (0–1 years),Diploma in IT,Azure Fundamentals,"AWS, Spark, JIRA, MATLAB","This job requires proficiency in Git, Docker, Power BI."
Project Manager,Retail,This is a Project Manager role in the Retail industry.,"Python, Azure, Machine Learning","Leadership, Creativity",Senior-level (6+ years),Master's in Data Science,Certified Data Scientist,"Power BI, Tableau, JIRA","This job requires proficiency in Python, Azure, Machine Learning."
Full Stack Developer,Manufacturing,This is a Full Stack Developer role in the Manufacturing industry.,"Deep Learning, Power BI, Java, Docker, Azure","Creativity, Teamwork, Leadership",Senior-level (6+ years),Bachelor's degree in Computer Science,AWS Certified Solutions Architect,"PostgreSQL, TensorFlow, JIRA, Power BI","This job requires proficiency in Deep Learning, Power BI, Java, Docker, Azure."
Machine Learning Engineer,Finance,This is a Machine Learning Engineer role in the Finance industry.,"Python, Azure, Docker, Power BI, SQL","Teamwork, Leadership",Entry-level (0–1 years),MBA,AWS Certified Solutions Architect,"AWS, Hadoop","This job requires proficiency in Python, Azure, Docker, Power BI, SQL."
AI Researcher,Retail,This is a AI Researcher role in the Retail industry.,"Excel, SQL, Kubernetes, Java, Tableau","Communication, Leadership",Mid-level (2–5 years),PhD in Artificial Intelligence,Scrum Master Certification,"AWS, Keras, GitHub, PyTorch","This job requires proficiency in Excel, SQL, Kubernetes, Java, Tableau."
AI Researcher,Healthcare,This is a AI Researcher role in the Healthcare industry.,"R, SQL, AWS, Git, Machine Learning","Problem-Solving, Adaptability",Mid-level (2–5 years),MBA,AWS Certified Solutions Architect,"Tableau, AWS, Keras, Hadoop","This job requires proficiency in R, SQL, AWS, Git, Machine Learning."
Business Analyst,Manufacturing,This is a Business Analyst role in the Manufacturing industry.,"Git, Azure, Java, Excel, SQL","Problem-Solving, Creativity",Mid-level (2–5 years),Master's in Data Science,Certified Data Scientist,"PostgreSQL, MATLAB, Power BI, AWS","This job requires proficiency in Git, Azure, Java, Excel, SQL."
Business Analyst,Marketing,This is a Business Analyst role in the Marketing industry.,"SQL, Machine Learning, Python, Tableau, Deep Learning","Critical Thinking, Problem-Solving",Mid-level (2–5 years),Diploma in IT,AWS Certified Solutions Architect,"PyTorch, MATLAB, Keras","This job requires proficiency in SQL, Machine Learning, Python, Tableau, Deep Learning."
Full Stack Developer,Healthcare,This is a Full Stack Developer role in the Healthcare industry.,"Git, Tableau, Kubernetes, R, Azure","Critical Thinking, Creativity",Mid-level (2–5 years),Master's in Data Science,Scrum Master Certification,"TensorFlow, AWS","This job requires proficiency in Git, Tableau, Kubernetes, R, Azure."
Machine Learning Engineer,Retail,This is a Machine Learning Engineer role in the Retail industry.,"Excel, Kubernetes, SQL","Adaptability, Communication",Senior-level (6+ years),Master's in Data Science,PMP Certification,"JIRA, Tableau, Hadoop","This job requires proficiency in Excel, Kubernetes, SQL."
Software Engineer,Retail,This is a Software Engineer role in the Retail industry.,"Java, Tableau, Docker, Azure, Deep Learning","Teamwork, Time Management, Communication",Senior-level (6+ years),Diploma in IT,Scrum Master Certification,"Power BI, MATLAB, PostgreSQL","This job requires proficiency in Java, Tableau, Docker, Azure, Deep Learning."
Database Administrator,Logistics,This is a Database Administrator role in the Logistics industry.,"Power BI, Excel, R, Docker, SQL","Teamwork, Creativity, Leadership, Problem-Solving",Mid-level (2–5 years),Master's in Data Science,Scrum Master Certification,"Tableau, MATLAB, GitHub","This job requires proficiency in Power BI, Excel, R, Docker, SQL."
Database Administrator,Education,This is a Database Administrator role in the Education industry.,"Tableau, R, Machine Learning, Docker","Communication, Teamwork",Senior-level (6+ years),Diploma in IT,Certified Data Scientist,"TensorFlow, Spark","This job requires proficiency in Tableau, R, Machine Learning, Docker."
Cybersecurity Analyst,Finance,This is a Cybersecurity Analyst role in the Finance industry.,"Machine Learning, Deep Learning, SQL, AWS","Leadership, Time Management, Problem-Solving",Mid-level (2–5 years),MBA,Azure Fundamentals,"PostgreSQL, Power BI","This job requires proficiency in Machine Learning, Deep Learning, SQL, AWS."
Database Administrator,Marketing,This is a Database Administrator role in the Marketing industry.,"SQL, Kubernetes, AWS","Adaptability, Time Management, Problem-Solving, Critical Thinking",Senior-level (6+ years),MBA,Azure Fundamentals,"JIRA, Spark, GitHub","This job requires proficiency in SQL, Kubernetes, AWS."
AI Researcher,Information Technology,This is a AI Researcher role in the Information Technology industry.,"AWS, Git, Kubernetes, R","Teamwork, Leadership",Entry-level (0–1 years),MBA,Azure Fundamentals,"GitHub, AWS","This job requires proficiency in AWS, Git, Kubernetes, R."
Machine Learning Engineer,Healthcare,This is a Machine Learning Engineer role in the Healthcare industry.,"Docker, Excel, Python","Communication, Problem-Solving, Critical Thinking",Mid-level (2–5 years),PhD in Artificial Intelligence,Azure Fundamentals,"Keras, Tableau","This job requires proficiency in Docker, Excel, Python."
Data Scientist,Retail,This is a Data Scientist role in the Retail industry.,"Tableau, SQL, R","Creativity, Communication, Leadership, Teamwork",Senior-level (6+ years),Bachelor's degree in Computer Science,Scrum Master Certification,"JIRA, AWS, Hadoop","This job requires proficiency in Tableau, SQL, R."
Cybersecurity Analyst,Retail,This is a Cybersecurity Analyst role in the Retail industry.,"SQL, Docker, Tableau","Creativity, Leadership",Mid-level (2–5 years),Bachelor's degree in Computer Science,PMP Certification,"GitHub, Spark","This job requires proficiency in SQL, Docker, Tableau."
Project Manager,Education,This is a Project Manager role in the Education industry.,"R, Git, Excel, Kubernetes, SQL","Creativity, Problem-Solving",Mid-level (2–5 years),Bachelor's degree in Computer Science,Azure Fundamentals,"PostgreSQL, PyTorch, Tableau, Power BI","This job requires proficiency in R, Git, Excel, Kubernetes, SQL."
Cybersecurity Analyst,Retail,This is a Cybersecurity Analyst role in the Retail industry.,"AWS, Deep Learning, R, Docker","Critical Thinking, Problem-Solving, Leadership",Mid-level (2–5 years),Diploma in IT,Scrum Master Certification,"PyTorch, Spark","This job requires proficiency in AWS, Deep Learning, R, Docker."
AI Researcher,Marketing,This is a AI Researcher role in the Marketing industry.,"Python, Power BI, Machine Learning, SQL","Teamwork, Communication, Critical Thinking",Entry-level (0–1 years),Bachelor's degree in Computer Science,Certified Data Scientist,"TensorFlow, Tableau, PostgreSQL, MATLAB","This job requires proficiency in Python, Power BI, Machine Learning, SQL."
Software Engineer,Finance,This is a Software Engineer role in the Finance industry.,"Python, Deep Learning, Azure, AWS, SQL","Teamwork, Time Management",Entry-level (0–1 years),PhD in Artificial Intelligence,Scrum Master Certification,"AWS, Hadoop","This job requires proficiency in Python, Deep Learning, Azure, AWS, SQL."
AI Researcher,Manufacturing,This is a AI Researcher role in the Manufacturing industry.,"Java, AWS, Kubernetes, Excel","Creativity, Adaptability",Entry-level (0–1 years),PhD in Artificial Intelligence,PMP Certification,"Spark, GitHub, Tableau, JIRA","This job requires proficiency in Java, AWS, Kubernetes, Excel."
Machine Learning Engineer,Logistics,This is a Machine Learning Engineer role in the Logistics industry.,"Azure, Kubernetes, Excel, Machine Learning, Python","Communication, Teamwork, Critical Thinking",Mid-level (2–5 years),Diploma in IT,AWS Certified Solutions Architect,"AWS, Tableau, Power BI, Spark","This job requires proficiency in Azure, Kubernetes, Excel, Machine Learning, Python."
Network Engineer,Healthcare,This is a Network Engineer role in the Healthcare industry.,"AWS, Python, Java, Kubernetes, R","Critical Thinking, Problem-Solving, Time Management, Communication",Entry-level (0–1 years),Diploma in IT,Azure Fundamentals,"PyTorch, JIRA","This job requires proficiency in AWS, Python, Java, Kubernetes, R."
Full Stack Developer,Finance,This is a Full Stack Developer role in the Finance industry.,"Power BI, Azure, SQL","Critical Thinking, Problem-Solving, Time Management",Senior-level (6+ years),Master's in Data Science,Azure Fundamentals,"Spark, Hadoop","This job requires proficiency in Power BI, Azure, SQL."
Cybersecurity Analyst,Marketing,This is a Cybersecurity Analyst role in the Marketing industry.,"R, Kubernetes, Deep Learning, AWS, Excel","Communication, Leadership, Problem-Solving, Adaptability",Senior-level (6+ years),Bachelor's degree in Computer Science,Scrum Master Certification,"PyTorch, Tableau, PostgreSQL, MATLAB","This job requires proficiency in R, Kubernetes, Deep Learning, AWS, Excel."
Project Manager,Healthcare,This is a Project Manager role in the Healthcare industry.,"Power BI, R, Kubernetes, Tableau","Communication, Teamwork, Adaptability, Leadership",Senior-level (6+ years),MBA,PMP Certification,"MATLAB, PostgreSQL, Power BI, Hadoop","This job requires proficiency in Power BI, R, Kubernetes, Tableau."
Database Administrator,Healthcare,This is a Database Administrator role in the Healthcare industry.,"SQL, Machine Learning, AWS","Problem-Solving, Creativity",Entry-level (0–1 years),MBA,Scrum Master Certification,"Hadoop, PostgreSQL, AWS, JIRA","This job requires proficiency in SQL, Machine Learning, AWS."
Cybersecurity Analyst,Logistics,This is a Cybersecurity Analyst role in the Logistics industry.,"Azure, Kubernetes, Machine Learning, SQL, Tableau","Adaptability, Time Management",Mid-level (2–5 years),MBA,Certified Data Scientist,"MATLAB, Hadoop","This job requires proficiency in Azure, Kubernetes, Machine Learning, SQL, Tableau."
Machine Learning Engineer,Marketing,This is a Machine Learning Engineer role in the Marketing industry.,"SQL, Kubernetes, Java, Python, Machine Learning","Creativity, Adaptability, Problem-Solving, Leadership",Senior-level (6+ years),MBA,Scrum Master Certification,"Tableau, Power BI","This job requires proficiency in SQL, Kubernetes, Java, Python, Machine Learning."
Database Administrator,Logistics,This is a Database Administrator role in the Logistics industry.,"Kubernetes, Excel, Tableau","Critical Thinking, Teamwork",Entry-level (0–1 years),Master's in Data Science,PMP Certification,"Keras, PyTorch, MATLAB","This job requires proficiency in Kubernetes, Excel, Tableau."
Database Administrator,Healthcare,This is a Database Administrator role in the Healthcare industry.,"Power BI, Azure, SQL, Python","Problem-Solving, Communication, Time Management",Senior-level (6+ years),Diploma in IT,Certified Data Scientist,"MATLAB, Power BI, PyTorch, Spark","This job requires proficiency in Power BI, Azure, SQL, Python."
Full Stack Developer,Retail,This is a Full Stack Developer role in the Retail industry.,"Docker, Tableau, AWS, Excel","Communication, Leadership",Senior-level (6+ years),Diploma in IT,AWS Certified Solutions Architect,"PyTorch, JIRA, PostgreSQL","This job requires proficiency in Docker, Tableau, AWS, Excel."
Software Engineer,Information Technology,This is a Software Engineer role in the Information Technology industry.,"Azure, Python, Power BI","Teamwork, Leadership, Adaptability, Communication",Senior-level (6+ years),PhD in Artificial Intelligence,Certified Data Scientist,"Tableau, GitHub","This job requires proficiency in Azure, Python, Power BI."
Data Scientist,Marketing,This is a Data Scientist role in the Marketing industry.,"Python, Docker, SQL","Teamwork, Problem-Solving, Time Management, Adaptability",Entry-level (0–1 years),Bachelor's degree in Computer Science,PMP Certification,"Spark, Hadoop, Power BI, AWS","This job requires proficiency in Python, Docker, SQL."
Business Analyst,Manufacturing,This is a Business Analyst role in the Manufacturing industry.,"Machine Learning, SQL, Power BI","Teamwork, Leadership",Entry-level (0–1 years),PhD in Artificial Intelligence,Azure Fundamentals,"AWS, JIRA, PostgreSQL","This job requires proficiency in Machine Learning, SQL, Power BI."
Project Manager,Information Technology,This is a Project Manager role in the Information Technology industry.,"Machine Learning, Git, Java","Problem-Solving, Teamwork, Communication",Mid-level (2–5 years),MBA,PMP Certification,"Hadoop, AWS, Power BI, Keras","This job requires proficiency in Machine Learning, Git, Java."
Network Engineer,Manufacturing,This is a Network Engineer role in the Manufacturing industry.,"Power BI, Java, Git, Kubernetes, Tableau","Teamwork, Creativity, Communication, Problem-Solving",Mid-level (2–5 years),Bachelor's degree in Computer Science,Scrum Master Certification,"AWS, PostgreSQL, Tableau","This job requires proficiency in Power BI, Java, Git, Kubernetes, Tableau."
Data Scientist,Retail,This is a Data Scientist role in the Retail industry.,"Power BI, Python, Azure, Machine Learning, Git","Leadership, Time Management, Adaptability, Problem-Solving",Senior-level (6+ years),Diploma in IT,Scrum Master Certification,"Hadoop, JIRA","This job requires proficiency in Power BI, Python, Azure, Machine Learning, Git."
AI Researcher,Information Technology,This is a AI Researcher role in the Information Technology industry.,"Java, Python, Power BI","Adaptability, Teamwork, Time Management",Senior-level (6+ years),Diploma in IT,AWS Certified Solutions Architect,"AWS, PostgreSQL, Spark, JIRA","This job requires proficiency in Java, Python, Power BI."
Data Scientist,Logistics,This is a Data Scientist role in the Logistics industry.,"AWS, Excel, Kubernetes, Git","Creativity, Problem-Solving",Senior-level (6+ years),Master's in Data Science,Scrum Master Certification,"PyTorch, Power BI","This job requires proficiency in AWS, Excel, Kubernetes, Git."
Business Analyst,Manufacturing,This is a Business Analyst role in the Manufacturing industry.,"AWS, Python, R, Git, Excel","Time Management, Creativity, Adaptability, Critical Thinking",Senior-level (6+ years),Bachelor's degree in Computer Science,PMP Certification,"Spark, MATLAB, Power BI","This job requires proficiency in AWS, Python, R, Git, Excel."
Machine Learning Engineer,Finance,This is a Machine Learning Engineer role in the Finance industry.,"Docker, Tableau, Git, Python","Adaptability, Teamwork",Senior-level (6+ years),Diploma in IT,AWS Certified Solutions Architect,"PostgreSQL, Power BI, MATLAB","This job requires proficiency in Docker, Tableau, Git, Python."
Network Engineer,Marketing,This is a Network Engineer role in the Marketing industry.,"Docker, Tableau, Machine Learning, SQL","Communication, Problem-Solving",Entry-level (0–1 years),Bachelor's degree in Computer Science,Scrum Master Certification,"GitHub, Power BI, Keras","This job requires proficiency in Docker, Tableau, Machine Learning, SQL."
Network Engineer,Retail,This is a Network Engineer role in the Retail industry.,"R, Git, Kubernetes, Power BI","Adaptability, Time Management, Critical Thinking, Teamwork",Senior-level (6+ years),Bachelor's degree in Computer Science,Scrum Master Certification,"PyTorch, Spark, AWS","This job requires proficiency in R, Git, Kubernetes, Power BI."
Database Administrator,Healthcare,This is a Database Administrator role in the Healthcare industry.,"R, AWS, Power BI, Azure, Java","Creativity, Adaptability, Problem-Solving",Mid-level (2–5 years),PhD in Artificial Intelligence,Scrum Master Certification,"Hadoop, MATLAB","This job requires proficiency in R, AWS, Power BI, Azure, Java."
Data Scientist,Information Technology,This is a Data Scientist role in the Information Technology industry.,"SQL, Java, Deep Learning, Kubernetes, Docker","Critical Thinking, Teamwork, Creativity, Time Management",Mid-level (2–5 years),MBA,Scrum Master Certification,"AWS, TensorFlow, Keras","This job requires proficiency in SQL, Java, Deep Learning, Kubernetes, Docker."
Database Administrator,Marketing,This is a Database Administrator role in the Marketing industry.,"Java, Docker, Deep Learning, Azure, Python","Leadership, Teamwork, Problem-Solving, Time Management",Entry-level (0–1 years),Diploma in IT,Azure Fundamentals,"Power BI, Tableau","This job requires proficiency in Java, Docker, Deep Learning, Azure, Python."
Project Manager,Education,This is a Project Manager role in the Education industry.,"Kubernetes, Excel, Docker, Python, Azure","Adaptability, Leadership",Senior-level (6+ years),PhD in Artificial Intelligence,Certified Data Scientist,"Tableau, PyTorch, Spark, MATLAB","This job requires proficiency in Kubernetes, Excel, Docker, Python, Azure."
Network Engineer,Finance,This is a Network Engineer role in the Finance industry.,"AWS, Power BI, Python","Leadership, Adaptability",Entry-level (0–1 years),PhD in Artificial Intelligence,PMP Certification,"TensorFlow, Spark","This job requires proficiency in AWS, Power BI, Python."
Project Manager,Logistics,This is a Project Manager role in the Logistics industry.,"Kubernetes, AWS, Excel","Problem-Solving, Creativity",Senior-level (6+ years),Diploma in IT,PMP Certification,"Spark, Keras, GitHub, TensorFlow","This job requires proficiency in Kubernetes, AWS, Excel."
Cybersecurity Analyst,Finance,This is a Cybersecurity Analyst role in the Finance industry.,"Tableau, Java, Python, Power BI","Critical Thinking, Communication, Problem-Solving",Entry-level (0–1 years),Master's in Data Science,PMP Certification,"Hadoop, Keras, JIRA","This job requires proficiency in Tableau, Java, Python, Power BI."
Project Manager,Healthcare,This is a Project Manager role in the Healthcare industry.,"SQL, R, Excel","Leadership, Creativity, Teamwork, Communication",Entry-level (0–1 years),Bachelor's degree in Computer Science,Azure Fundamentals,"Spark, AWS, Hadoop","This job requires proficiency in SQL, R, Excel."
Data Scientist,Manufacturing,This is a Data Scientist role in the Manufacturing industry.,"R, AWS, Machine Learning, Excel, Power BI","Teamwork, Communication, Time Management, Creativity",Mid-level (2–5 years),Master's in Data Science,Azure Fundamentals,"JIRA, GitHub, Tableau","This job requires proficiency in R, AWS, Machine Learning, Excel, Power BI."
AI Researcher,Healthcare,This is a AI Researcher role in the Healthcare industry.,"Docker, Deep Learning, Tableau, Azure","Teamwork, Leadership, Communication, Critical Thinking",Mid-level (2–5 years),Master's in Data Science,AWS Certified Solutions Architect,"JIRA, Power BI","This job requires proficiency in Docker, Deep Learning, Tableau, Azure."
AI Researcher,Finance,This is a AI Researcher role in the Finance industry.,"Azure, R, Java","Problem-Solving, Critical Thinking, Leadership, Communication",Entry-level (0–1 years),MBA,Scrum Master Certification,"PyTorch, Tableau","This job requires proficiency in Azure, R, Java."
Business Analyst,Manufacturing,This is a Business Analyst role in the Manufacturing industry.,"Azure, R, Git, SQL","Creativity, Communication, Teamwork, Critical Thinking",Senior-level (6+ years),Master's in Data Science,Azure Fundamentals,"MATLAB, Keras","This job requires proficiency in Azure, R, Git, SQL."
Software Engineer,Finance,This is a Software Engineer role in the Finance industry.,"Tableau, Azure, Java","Adaptability, Time Management, Communication, Critical Thinking",Mid-level (2–5 years),Bachelor's degree in Computer Science,Certified Data Scientist,"Tableau, PostgreSQL","This job requires proficiency in Tableau, Azure, Java."
Full Stack Developer,Logistics,This is a Full Stack Developer role in the Logistics industry.,"Machine Learning, AWS, Excel, SQL, Java","Time Management, Leadership, Creativity, Problem-Solving",Mid-level (2–5 years),Bachelor's degree in Computer Science,PMP Certification,"PyTorch, JIRA, TensorFlow","This job requires proficiency in Machine Learning, AWS, Excel, SQL, Java."
Network Engineer,Healthcare,This is a Network Engineer role in the Healthcare industry.,"Power BI, Tableau, Java, AWS","Communication, Creativity, Problem-Solving, Teamwork",Entry-level (0–1 years),Bachelor's degree in Computer Science,Scrum Master Certification,"Spark, MATLAB, GitHub","This job requires proficiency in Power BI, Tableau, Java, AWS."
Cybersecurity Analyst,Healthcare,This is a Cybersecurity Analyst role in the Healthcare industry.,"Machine Learning, AWS, Excel, Java","Creativity, Leadership",Mid-level (2–5 years),Diploma in IT,Azure Fundamentals,"JIRA, Hadoop","This job requires proficiency in Machine Learning, AWS, Excel, Java."
Database Administrator,Information Technology,This is a Database Administrator role in the Information Technology industry.,"Azure, Java, Docker","Communication, Leadership, Problem-Solving, Time Management",Mid-level (2–5 years),Diploma in IT,PMP Certification,"PostgreSQL, Power BI, GitHub","This job requires proficiency in Azure, Java, Docker."
Machine Learning Engineer,Education,This is a Machine Learning Engineer role in the Education industry.,"Java, Deep Learning, R, Python, Machine Learning","Communication, Teamwork, Adaptability, Problem-Solving",Senior-level (6+ years),Master's in Data Science,Azure Fundamentals,"Power BI, Keras, AWS","This job requires proficiency in Java, Deep Learning, R, Python, Machine Learning."
AI Researcher,Logistics,This is a AI Researcher role in the Logistics industry.,"SQL, Java, Deep Learning, Git, AWS","Creativity, Critical Thinking",Senior-level (6+ years),Diploma in IT,Scrum Master Certification,"Power BI, JIRA, Keras, Hadoop","This job requires proficiency in SQL, Java, Deep Learning, Git, AWS."
Business Analyst,Healthcare,This is a Business Analyst role in the Healthcare industry.,"AWS, Machine Learning, Excel, Tableau","Teamwork, Leadership, Time Management, Creativity",Entry-level (0–1 years),Diploma in IT,Certified Data Scientist,"PostgreSQL, Tableau, PyTorch","This job requires proficiency in AWS, Machine Learning, Excel, Tableau."
Software Engineer,Logistics,This is a Software Engineer role in the Logistics industry.,"SQL, Deep Learning, Kubernetes, Git, Tableau","Leadership, Adaptability, Problem-Solving",Mid-level (2–5 years),MBA,Azure Fundamentals,"Power BI, Hadoop, TensorFlow","This job requires proficiency in SQL, Deep Learning, Kubernetes, Git, Tableau."
