Job Title,Industry,Job Description,Technical Skills,Soft Skills,Minimum Experience,Educational Qualifications,Certifications,Tools/Technologies,Additional Comments
Data Scientist,Healthcare,This is a Data Scientist role in the Healthcare industry.,"Docker, R, Excel","Leadership, Adaptability, Creativity",Entry-level (0–1 years),MBA,AWS Certified Solutions Architect,"MATLAB, AWS, PyTorch","This job requires proficiency in Docker, R, Excel."
Full Stack Developer,Marketing,This is a Full Stack Developer role in the Marketing industry.,"Java, Docker, SQL","Problem-Solving, Communication, Creativity, Teamwork",Entry-level (0–1 years),Diploma in IT,Scrum Master Certification,"Power BI, TensorFlow, Tableau, PyTorch","This job requires proficiency in Java, Docker, SQL."
Project Manager,Education,This is a Project Manager role in the Education industry.,"Machine Learning, Python, Tableau","Adaptability, Leadership",Mid-level (2–5 years),MBA,AWS Certified Solutions Architect,"Tableau, TensorFlow","This job requires proficiency in Machine Learning, Python, Tableau."
Network Engineer,Education,This is a Network Engineer role in the Education industry.,"Git, Machine Learning, Deep Learning, SQL, Kubernetes","Creativity, Adaptability, Communication, Critical Thinking",Senior-level (6+ years),Diploma in IT,AWS Certified Solutions Architect,"Tableau, MATLAB, GitHub, AWS","This job requires proficiency in Git, Machine Learning, Deep Learning, SQL, Kubernetes."
Software Engineer,Marketing,This is a Software Engineer role in the Marketing industry.,"R, Power BI, Git, SQL, Python","Teamwork, Critical Thinking, Leadership",Mid-level (2–5 years),Diploma in IT,Azure Fundamentals,"TensorFlow, Power BI","This job requires proficiency in R, Power BI, Git, SQL, Python."
Database Administrator,Manufacturing,This is a Database Administrator role in the Manufacturing industry.,"Python, Machine Learning, SQL, Java","Critical Thinking, Communication, Teamwork, Time Management",Senior-level (6+ years),Diploma in IT,Scrum Master Certification,"GitHub, Power BI","This job requires proficiency in Python, Machine Learning, SQL, Java."
Database Administrator,Marketing,This is a Database Administrator role in the Marketing industry.,"Kubernetes, Python, Docker, Tableau, Git","Time Management, Critical Thinking, Communication, Leadership",Entry-level (0–1 years),Diploma in IT,AWS Certified Solutions Architect,"Hadoop, TensorFlow, PostgreSQL, Tableau","This job requires proficiency in Kubernetes, Python, Docker, Tableau, Git."
Machine Learning Engineer,Marketing,This is a Machine Learning Engineer role in the Marketing industry.,"AWS, Machine Learning, SQL","Teamwork, Communication, Leadership",Senior-level (6+ years),Bachelor's degree in Computer Science,Azure Fundamentals,"Power BI, Tableau, TensorFlow","This job requires proficiency in AWS, Machine Learning, SQL."
Data Scientist,Information Technology,This is a Data Scientist role in the Information Technology industry.,"Azure, Machine Learning, Excel, Git","Creativity, Adaptability, Leadership",Senior-level (6+ years),PhD in Artificial Intelligence,AWS Certified Solutions Architect,"Power BI, AWS, PostgreSQL, Tableau","This job requires proficiency in Azure, Machine Learning, Excel, Git."
Cybersecurity Analyst,Education,This is a Cybersecurity Analyst role in the Education industry.,"Python, Machine Learning, Tableau, Git, R","Adaptability, Time Management",Senior-level (6+ years),Master's in Data Science,PMP Certification,"Spark, Hadoop","This job requires proficiency in Python, Machine Learning, Tableau, Git, R."
Project Manager,Marketing,This is a Project Manager role in the Marketing industry.,"Git, Tableau, Kubernetes, SQL","Critical Thinking, Teamwork, Adaptability",Senior-level (6+ years),Diploma in IT,Certified Data Scientist,"GitHub, Hadoop","This job requires proficiency in Git, Tableau, Kubernetes, SQL."
AI Researcher,Education,This is a AI Researcher role in the Education industry.,"SQL, Kubernetes, Deep Learning, Python","Teamwork, Time Management, Adaptability, Leadership",Entry-level (0–1 years),Diploma in IT,Scrum Master Certification,"GitHub, AWS, Tableau","This job requires proficiency in SQL, Kubernetes, Deep Learning, Python."
Software Engineer,Finance,This is a Software Engineer role in the Finance industry.,"AWS, Deep Learning, Java","Leadership, Problem-Solving, Teamwork",Entry-level (0–1 years),Bachelor's degree in Computer Science,PMP Certification,"JIRA, Tableau, Spark","This job requires proficiency in AWS, Deep Learning, Java."
Full Stack Developer,Retail,This is a Full Stack Developer role in the Retail industry.,"Excel, Java, Git, Tableau, Power BI","Teamwork, Problem-Solving",Entry-level (0–1 years),PhD in Artificial Intelligence,AWS Certified Solutions Architect,"Tableau, Power BI, Keras","This job requires proficiency in Excel, Java, Git, Tableau, Power BI."
Cybersecurity Analyst,Healthcare,This is a Cybersecurity Analyst role in the Healthcare industry.,"Deep Learning, R, Java, Kubernetes","Problem-Solving, Communication, Leadership, Critical Thinking",Mid-level (2–5 years),MBA,Certified Data Scientist,"TensorFlow, MATLAB, Spark, PyTorch","This job requires proficiency in Deep Learning, R, Java, Kubernetes."
Machine Learning Engineer,Marketing,This is a Machine Learning Engineer role in the Marketing industry.,"Excel, Tableau, Machine Learning","Creativity, Critical Thinking",Mid-level (2–5 years),Bachelor's degree in Computer Science,Certified Data Scientist,"PostgreSQL, TensorFlow, PyTorch, Hadoop","This job requires proficiency in Excel, Tableau, Machine Learning."
Database Administrator,Logistics,This is a Database Administrator role in the Logistics industry.,"Deep Learning, Kubernetes, Tableau, Git","Leadership, Creativity, Communication",Entry-level (0–1 years),Bachelor's degree in Computer Science,AWS Certified Solutions Architect,"PostgreSQL, Hadoop","This job requires proficiency in Deep Learning, Kubernetes, Tableau, Git."
Network Engineer,Information Technology,This is a Network Engineer role in the Information Technology industry.,"Python, Java, Deep Learning","Teamwork, Adaptability, Problem-Solving",Senior-level (6+ years),PhD in Artificial Intelligence,Scrum Master Certification,"Power BI, GitHub, AWS, TensorFlow","This job requires proficiency in Python, Java, Deep Learning."
Software Engineer,Manufacturing,This is a Software Engineer role in the Manufacturing industry.,"Kubernetes, Excel, Power BI","Adaptability, Time Management, Communication, Problem-Solving",Senior-level (6+ years),MBA,Azure Fundamentals,"PyTorch, MATLAB","This job requires proficiency in Kubernetes, Excel, Power BI."
Cybersecurity Analyst,Logistics,This is a Cybersecurity Analyst role in the Logistics industry.,"Git, Tableau, AWS, Docker, Deep Learning","Teamwork, Communication, Problem-Solving",Entry-level (0–1 years),Bachelor's degree in Computer Science,Scrum Master Certification,"Power BI, Spark, PostgreSQL","This job requires proficiency in Git, Tableau, AWS, Docker, Deep Learning."
Data Scientist,Manufacturing,This is a Data Scientist role in the Manufacturing industry.,"Excel, Azure, Power BI, Tableau, Kubernetes","Communication, Creativity",Entry-level (0–1 years),Diploma in IT,PMP Certification,"JIRA, Power BI, Hadoop, PostgreSQL","This job requires proficiency in Excel, Azure, Power BI, Tableau, Kubernetes."
Network Engineer,Marketing,This is a Network Engineer role in the Marketing industry.,"AWS, R, SQL","Time Management, Adaptability, Critical Thinking",Senior-level (6+ years),Diploma in IT,Azure Fundamentals,"PostgreSQL, Power BI, Spark, JIRA","This job requires proficiency in AWS, R, SQL."
Network Engineer,Retail,This is a Network Engineer role in the Retail industry.,"SQL, Docker, Python","Creativity, Time Management, Teamwork, Adaptability",Entry-level (0–1 years),Diploma in IT,PMP Certification,"MATLAB, Power BI","This job requires proficiency in SQL, Docker, Python."
Network Engineer,Healthcare,This is a Network Engineer role in the Healthcare industry.,"Excel, Python, Kubernetes, Git","Teamwork, Communication",Mid-level (2–5 years),Diploma in IT,AWS Certified Solutions Architect,"Power BI, AWS","This job requires proficiency in Excel, Python, Kubernetes, Git."
Software Engineer,Retail,This is a Software Engineer role in the Retail industry.,"Git, SQL, Excel","Communication, Problem-Solving, Teamwork, Time Management",Senior-level (6+ years),PhD in Artificial Intelligence,Azure Fundamentals,"PostgreSQL, Spark, Tableau, PyTorch","This job requires proficiency in Git, SQL, Excel."
Database Administrator,Healthcare,This is a Database Administrator role in the Healthcare industry.,"Tableau, Excel, Machine Learning, Docker, SQL","Problem-Solving, Time Management, Adaptability, Teamwork",Entry-level (0–1 years),PhD in Artificial Intelligence,Certified Data Scientist,"Power BI, TensorFlow","This job requires proficiency in Tableau, Excel, Machine Learning, Docker, SQL."
Network Engineer,Marketing,This is a Network Engineer role in the Marketing industry.,"SQL, Git, Kubernetes, R","Leadership, Communication, Time Management",Mid-level (2–5 years),PhD in Artificial Intelligence,Scrum Master Certification,"Hadoop, AWS, GitHub","This job requires proficiency in SQL, Git, Kubernetes, R."
Software Engineer,Logistics,This is a Software Engineer role in the Logistics industry.,"Git, Kubernetes, Power BI","Problem-Solving, Teamwork, Time Management",Mid-level (2–5 years),MBA,Azure Fundamentals,"Keras, JIRA, PyTorch, MATLAB","This job requires proficiency in Git, Kubernetes, Power BI."
Full Stack Developer,Healthcare,This is a Full Stack Developer role in the Healthcare industry.,"Kubernetes, R, Power BI, SQL, AWS","Communication, Critical Thinking, Teamwork, Time Management",Entry-level (0–1 years),Master's in Data Science,PMP Certification,"PyTorch, JIRA, PostgreSQL, TensorFlow","This job requires proficiency in Kubernetes, R, Power BI, SQL, AWS."
Data Scientist,Retail,This is a Data Scientist role in the Retail industry.,"Kubernetes, Machine Learning, Power BI","Time Management, Leadership, Adaptability",Senior-level (6+ years),PhD in Artificial Intelligence,PMP Certification,"GitHub, Spark, MATLAB, Keras","This job requires proficiency in Kubernetes, Machine Learning, Power BI."
Project Manager,Information Technology,This is a Project Manager role in the Information Technology industry.,"AWS, Git, Kubernetes, Machine Learning, Azure","Creativity, Critical Thinking, Time Management, Communication",Mid-level (2–5 years),Master's in Data Science,Azure Fundamentals,"PyTorch, Keras, AWS, GitHub","This job requires proficiency in AWS, Git, Kubernetes, Machine Learning, Azure."
Project Manager,Retail,This is a Project Manager role in the Retail industry.,"Kubernetes, SQL, Deep Learning","Time Management, Creativity, Teamwork, Leadership",Mid-level (2–5 years),Bachelor's degree in Computer Science,Certified Data Scientist,"Hadoop, PostgreSQL, PyTorch","This job requires proficiency in Kubernetes, SQL, Deep Learning."
Software Engineer,Logistics,This is a Software Engineer role in the Logistics industry.,"Kubernetes, Git, Java","Critical Thinking, Teamwork, Problem-Solving, Communication",Mid-level (2–5 years),Bachelor's degree in Computer Science,PMP Certification,"Spark, PyTorch, Power BI, JIRA","This job requires proficiency in Kubernetes, Git, Java."
Software Engineer,Manufacturing,This is a Software Engineer role in the Manufacturing industry.,"Kubernetes, Python, Deep Learning, Excel, Tableau","Leadership, Problem-Solving, Critical Thinking, Communication",Mid-level (2–5 years),Master's in Data Science,AWS Certified Solutions Architect,"Tableau, JIRA","This job requires proficiency in Kubernetes, Python, Deep Learning, Excel, Tableau."
Business Analyst,Information Technology,This is a Business Analyst role in the Information Technology industry.,"Excel, Docker, Power BI, Deep Learning","Creativity, Time Management, Leadership, Teamwork",Senior-level (6+ years),MBA,Scrum Master Certification,"Hadoop, AWS, JIRA, TensorFlow","This job requires proficiency in Excel, Docker, Power BI, Deep Learning."
Cybersecurity Analyst,Education,This is a Cybersecurity Analyst role in the Education industry.,"AWS, Excel, Power BI","Communication, Critical Thinking, Problem-Solving",Entry-level (0–1 years),MBA,Scrum Master Certification,"Keras, Hadoop","This job requires proficiency in AWS, Excel, Power BI."
Project Manager,Retail,This is a Project Manager role in the Retail industry.,"Python, Java, Excel","Leadership, Creativity, Teamwork",Entry-level (0–1 years),MBA,AWS Certified Solutions Architect,"PyTorch, PostgreSQL, Tableau, Power BI","This job requires proficiency in Python, Java, Excel."
Software Engineer,Marketing,This is a Software Engineer role in the Marketing industry.,"AWS, Python, Java, Power BI","Leadership, Problem-Solving, Teamwork",Mid-level (2–5 years),Master's in Data Science,Certified Data Scientist,"MATLAB, PostgreSQL, PyTorch, JIRA","This job requires proficiency in AWS, Python, Java, Power BI."
Software Engineer,Education,This is a Software Engineer role in the Education industry.,"Kubernetes, Excel, Git, Azure","Leadership, Problem-Solving",Senior-level (6+ years),Master's in Data Science,AWS Certified Solutions Architect,"Keras, GitHub, PostgreSQL, MATLAB","This job requires proficiency in Kubernetes, Excel, Git, Azure."
Data Scientist,Information Technology,This is a Data Scientist role in the Information Technology industry.,"Machine Learning, AWS, Excel, Kubernetes","Problem-Solving, Creativity, Leadership",Senior-level (6+ years),Bachelor's degree in Computer Science,Certified Data Scientist,"PyTorch, Power BI","This job requires proficiency in Machine Learning, AWS, Excel, Kubernetes."
Database Administrator,Logistics,This is a Database Administrator role in the Logistics industry.,"SQL, Excel, Git, Power BI, Tableau","Critical Thinking, Problem-Solving, Communication",Entry-level (0–1 years),MBA,PMP Certification,"Hadoop, Tableau, Spark","This job requires proficiency in SQL, Excel, Git, Power BI, Tableau."
Database Administrator,Logistics,This is a Database Administrator role in the Logistics industry.,"Tableau, Deep Learning, Docker","Communication, Leadership, Adaptability",Entry-level (0–1 years),Master's in Data Science,PMP Certification,"Tableau, Power BI, PyTorch, Hadoop","This job requires proficiency in Tableau, Deep Learning, Docker."
Software Engineer,Marketing,This is a Software Engineer role in the Marketing industry.,"R, Machine Learning, AWS, Docker","Problem-Solving, Creativity, Adaptability, Critical Thinking",Mid-level (2–5 years),Bachelor's degree in Computer Science,Azure Fundamentals,"AWS, GitHub, Power BI","This job requires proficiency in R, Machine Learning, AWS, Docker."
Network Engineer,Logistics,This is a Network Engineer role in the Logistics industry.,"AWS, R, Power BI","Communication, Creativity, Adaptability, Leadership",Mid-level (2–5 years),MBA,Certified Data Scientist,"Keras, JIRA, Spark","This job requires proficiency in AWS, R, Power BI."
Full Stack Developer,Information Technology,This is a Full Stack Developer role in the Information Technology industry.,"Tableau, Docker, R, AWS","Adaptability, Problem-Solving",Senior-level (6+ years),MBA,Certified Data Scientist,"AWS, MATLAB","This job requires proficiency in Tableau, Docker, R, AWS."
Software Engineer,Finance,This is a Software Engineer role in the Finance industry.,"Tableau, Java, Azure","Communication, Teamwork",Senior-level (6+ years),PhD in Artificial Intelligence,Certified Data Scientist,"PostgreSQL, PyTorch, TensorFlow","This job requires proficiency in Tableau, Java, Azure."
Full Stack Developer,Healthcare,This is a Full Stack Developer role in the Healthcare industry.,"Java, Docker, Deep Learning","Teamwork, Problem-Solving, Communication, Critical Thinking",Mid-level (2–5 years),Bachelor's degree in Computer Science,PMP Certification,"Spark, MATLAB","This job requires proficiency in Java, Docker, Deep Learning."
Database Administrator,Education,This is a Database Administrator role in the Education industry.,"Python, Azure, AWS","Problem-Solving, Leadership",Senior-level (6+ years),Bachelor's degree in Computer Science,Certified Data Scientist,"GitHub, TensorFlow, Hadoop, Keras","This job requires proficiency in Python, Azure, AWS."
Machine Learning Engineer,Finance,This is a Machine Learning Engineer role in the Finance industry.,"Machine Learning, AWS, SQL, Kubernetes","Time Management, Communication",Senior-level (6+ years),Bachelor's degree in Computer Science,Scrum Master Certification,"Hadoop, AWS","This job requires proficiency in Machine Learning, AWS, SQL, Kubernetes."
Business Analyst,Education,This is a Business Analyst role in the Education industry.,"Power BI, Machine Learning, Git","Critical Thinking, Communication",Entry-level (0–1 years),Diploma in IT,PMP Certification,"PyTorch, Power BI, Spark","This job requires proficiency in Power BI, Machine Learning, Git."
AI Researcher,Retail,This is a AI Researcher role in the Retail industry.,"Machine Learning, Python, Tableau","Communication, Leadership, Problem-Solving, Teamwork",Entry-level (0–1 years),Diploma in IT,Azure Fundamentals,"Keras, Tableau, GitHub","This job requires proficiency in Machine Learning, Python, Tableau."
Business Analyst,Education,This is a Business Analyst role in the Education industry.,"Excel, SQL, Kubernetes","Adaptability, Teamwork",Senior-level (6+ years),Diploma in IT,Azure Fundamentals,"GitHub, JIRA, PyTorch, Tableau","This job requires proficiency in Excel, SQL, Kubernetes."
Data Scientist,Finance,This is a Data Scientist role in the Finance industry.,"Tableau, Azure, Power BI, Excel","Communication, Problem-Solving, Adaptability, Leadership",Mid-level (2–5 years),Bachelor's degree in Computer Science,Azure Fundamentals,"AWS, JIRA, Tableau","This job requires proficiency in Tableau, Azure, Power BI, Excel."
Data Scientist,Information Technology,This is a Data Scientist role in the Information Technology industry.,"Git, Power BI, Python","Critical Thinking, Teamwork, Adaptability",Entry-level (0–1 years),Master's in Data Science,Certified Data Scientist,"MATLAB, AWS","This job requires proficiency in Git, Power BI, Python."
Cybersecurity Analyst,Education,This is a Cybersecurity Analyst role in the Education industry.,"Docker, SQL, Kubernetes, Java","Critical Thinking, Leadership, Creativity",Senior-level (6+ years),Bachelor's degree in Computer Science,AWS Certified Solutions Architect,"PyTorch, Tableau, PostgreSQL, MATLAB","This job requires proficiency in Docker, SQL, Kubernetes, Java."
Database Administrator,Healthcare,This is a Database Administrator role in the Healthcare industry.,"Excel, AWS, Tableau, SQL","Creativity, Teamwork, Critical Thinking",Entry-level (0–1 years),PhD in Artificial Intelligence,Azure Fundamentals,"AWS, Hadoop, PyTorch","This job requires proficiency in Excel, AWS, Tableau, SQL."
Business Analyst,Retail,This is a Business Analyst role in the Retail industry.,"Tableau, SQL, Deep Learning, Python, R","Creativity, Leadership, Time Management, Teamwork",Mid-level (2–5 years),PhD in Artificial Intelligence,Scrum Master Certification,"Power BI, PyTorch, Keras, MATLAB","This job requires proficiency in Tableau, SQL, Deep Learning, Python, R."
Database Administrator,Finance,This is a Database Administrator role in the Finance industry.,"Java, Docker, Kubernetes, Excel","Problem-Solving, Time Management, Creativity",Entry-level (0–1 years),Bachelor's degree in Computer Science,PMP Certification,"Hadoop, JIRA","This job requires proficiency in Java, Docker, Kubernetes, Excel."
Full Stack Developer,Finance,This is a Full Stack Developer role in the Finance industry.,"Docker, Kubernetes, Azure, Git","Communication, Adaptability",Senior-level (6+ years),Bachelor's degree in Computer Science,PMP Certification,"MATLAB, TensorFlow","This job requires proficiency in Docker, Kubernetes, Azure, Git."
Database Administrator,Logistics,This is a Database Administrator role in the Logistics industry.,"Machine Learning, Python, Tableau","Adaptability, Teamwork, Communication, Time Management",Mid-level (2–5 years),Master's in Data Science,Certified Data Scientist,"Power BI, Spark, MATLAB, Hadoop","This job requires proficiency in Machine Learning, Python, Tableau."
Business Analyst,Healthcare,This is a Business Analyst role in the Healthcare industry.,"Azure, Deep Learning, Python, Excel, Git","Communication, Critical Thinking, Time Management, Problem-Solving",Entry-level (0–1 years),Master's in Data Science,Azure Fundamentals,"MATLAB, AWS, Power BI, GitHub","This job requires proficiency in Azure, Deep Learning, Python, Excel, Git."
AI Researcher,Marketing,This is a AI Researcher role in the Marketing industry.,"Machine Learning, Power BI, Tableau","Creativity, Teamwork, Adaptability",Entry-level (0–1 years),Bachelor's degree in Computer Science,PMP Certification,"Power BI, MATLAB, Keras","This job requires proficiency in Machine Learning, Power BI, Tableau."
Full Stack Developer,Marketing,This is a Full Stack Developer role in the Marketing industry.,"R, Python, Tableau","Critical Thinking, Creativity",Entry-level (0–1 years),Master's in Data Science,AWS Certified Solutions Architect,"GitHub, Hadoop, JIRA, AWS","This job requires proficiency in R, Python, Tableau."
Cybersecurity Analyst,Logistics,This is a Cybersecurity Analyst role in the Logistics industry.,"Machine Learning, Excel, Docker, Git","Leadership, Problem-Solving, Time Management, Communication",Mid-level (2–5 years),PhD in Artificial Intelligence,Certified Data Scientist,"PyTorch, GitHub, Power BI, PostgreSQL","This job requires proficiency in Machine Learning, Excel, Docker, Git."
Project Manager,Retail,This is a Project Manager role in the Retail industry.,"Tableau, Machine Learning, Java","Time Management, Leadership",Entry-level (0–1 years),MBA,Scrum Master Certification,"PyTorch, Spark, GitHub, Tableau","This job requires proficiency in Tableau, Machine Learning, Java."
Business Analyst,Information Technology,This is a Business Analyst role in the Information Technology industry.,"Excel, AWS, Machine Learning, Java","Leadership, Critical Thinking, Communication",Senior-level (6+ years),MBA,Azure Fundamentals,"JIRA, Spark, Power BI","This job requires proficiency in Excel, AWS, Machine Learning, Java."
Database Administrator,Manufacturing,This is a Database Administrator role in the Manufacturing industry.,"Python, AWS, Tableau","Teamwork, Creativity, Communication, Time Management",Entry-level (0–1 years),Diploma in IT,Scrum Master Certification,"GitHub, Power BI, JIRA","This job requires proficiency in Python, AWS, Tableau."
Business Analyst,Logistics,This is a Business Analyst role in the Logistics industry.,"Python, Power BI, Machine Learning, AWS","Time Management, Leadership",Mid-level (2–5 years),Master's in Data Science,Certified Data Scientist,"MATLAB, Spark, GitHub, Tableau","This job requires proficiency in Python, Power BI, Machine Learning, AWS."
Software Engineer,Finance,This is a Software Engineer role in the Finance industry.,"Machine Learning, Tableau, AWS, Azure, Python","Leadership, Problem-Solving",Mid-level (2–5 years),PhD in Artificial Intelligence,Scrum Master Certification,"TensorFlow, Keras, PostgreSQL, Hadoop","This job requires proficiency in Machine Learning, Tableau, AWS, Azure, Python."
Network Engineer,Retail,This is a Network Engineer role in the Retail industry.,"Java, Machine Learning, Python, R, SQL","Critical Thinking, Time Management, Leadership",Entry-level (0–1 years),PhD in Artificial Intelligence,PMP Certification,"Hadoop, PyTorch","This job requires proficiency in Java, Machine Learning, Python, R, SQL."
Data Scientist,Finance,This is a Data Scientist role in the Finance industry.,"Kubernetes, Deep Learning, Excel, Tableau","Leadership, Problem-Solving, Time Management, Creativity",Entry-level (0–1 years),Diploma in IT,Azure Fundamentals,"Hadoop, Keras, PostgreSQL, PyTorch","This job requires proficiency in Kubernetes, Deep Learning, Excel, Tableau."
Machine Learning Engineer,Manufacturing,This is a Machine Learning Engineer role in the Manufacturing industry.,"Tableau, Kubernetes, Python, Power BI","Problem-Solving, Communication",Senior-level (6+ years),Bachelor's degree in Computer Science,PMP Certification,"GitHub, PostgreSQL, PyTorch","This job requires proficiency in Tableau, Kubernetes, Python, Power BI."
Software Engineer,Finance,This is a Software Engineer role in the Finance industry.,"Java, Azure, Power BI, Kubernetes, Docker","Problem-Solving, Adaptability, Leadership, Teamwork",Entry-level (0–1 years),Bachelor's degree in Computer Science,Scrum Master Certification,"JIRA, MATLAB","This job requires proficiency in Java, Azure, Power BI, Kubernetes, Docker."
Data Scientist,Retail,This is a Data Scientist role in the Retail industry.,"Python, Git, Azure, Excel, R","Creativity, Communication",Senior-level (6+ years),Diploma in IT,PMP Certification,"GitHub, PyTorch","This job requires proficiency in Python, Git, Azure, Excel, R."
Full Stack Developer,Finance,This is a Full Stack Developer role in the Finance industry.,"Java, AWS, Azure, Power BI, Kubernetes","Communication, Creativity, Critical Thinking, Teamwork",Senior-level (6+ years),MBA,Certified Data Scientist,"Hadoop, MATLAB","This job requires proficiency in Java, AWS, Azure, Power BI, Kubernetes."
AI Researcher,Finance,This is a AI Researcher role in the Finance industry.,"Deep Learning, SQL, Power BI, Docker, AWS","Adaptability, Creativity, Problem-Solving, Leadership",Mid-level (2–5 years),Bachelor's degree in Computer Science,PMP Certification,"TensorFlow, MATLAB, AWS","This job requires proficiency in Deep Learning, SQL, Power BI, Docker, AWS."
Software Engineer,Manufacturing,This is a Software Engineer role in the Manufacturing industry.,"Machine Learning, Java, AWS, Excel","Leadership, Teamwork",Mid-level (2–5 years),PhD in Artificial Intelligence,Azure Fundamentals,"Hadoop, Spark, PostgreSQL","This job requires proficiency in Machine Learning, Java, AWS, Excel."
Full Stack Developer,Education,This is a Full Stack Developer role in the Education industry.,"Python, Kubernetes, Azure, Deep Learning","Teamwork, Time Management, Problem-Solving",Mid-level (2–5 years),Bachelor's degree in Computer Science,PMP Certification,"Spark, Power BI, Keras","This job requires proficiency in Python, Kubernetes, Azure, Deep Learning."
Project Manager,Retail,This is a Project Manager role in the Retail industry.,"Kubernetes, Excel, Java, Tableau, Git","Problem-Solving, Teamwork, Leadership",Senior-level (6+ years),Diploma in IT,Certified Data Scientist,"AWS, Power BI, MATLAB, GitHub","This job requires proficiency in Kubernetes, Excel, Java, Tableau, Git."
Project Manager,Information Technology,This is a Project Manager role in the Information Technology industry.,"Power BI, Machine Learning, Tableau, R, Git","Leadership, Problem-Solving",Entry-level (0–1 years),Bachelor's degree in Computer Science,AWS Certified Solutions Architect,"GitHub, PyTorch","This job requires proficiency in Power BI, Machine Learning, Tableau, R, Git."
Full Stack Developer,Manufacturing,This is a Full Stack Developer role in the Manufacturing industry.,"Kubernetes, Python, Azure","Communication, Time Management, Critical Thinking, Problem-Solving",Senior-level (6+ years),Master's in Data Science,AWS Certified Solutions Architect,"MATLAB, Spark","This job requires proficiency in Kubernetes, Python, Azure."
AI Researcher,Education,This is a AI Researcher role in the Education industry.,"Git, Power BI, Azure","Teamwork, Leadership, Time Management",Senior-level (6+ years),Diploma in IT,Azure Fundamentals,"PyTorch, MATLAB, Tableau","This job requires proficiency in Git, Power BI, Azure."
Machine Learning Engineer,Retail,This is a Machine Learning Engineer role in the Retail industry.,"AWS, Python, Git, Kubernetes, R","Communication, Leadership",Senior-level (6+ years),Diploma in IT,Certified Data Scientist,"MATLAB, GitHub, Power BI","This job requires proficiency in AWS, Python, Git, Kubernetes, R."
Project Manager,Healthcare,This is a Project Manager role in the Healthcare industry.,"SQL, Deep Learning, Power BI, R","Leadership, Teamwork, Communication, Time Management",Mid-level (2–5 years),PhD in Artificial Intelligence,Azure Fundamentals,"AWS, PyTorch, Hadoop","This job requires proficiency in SQL, Deep Learning, Power BI, R."
